Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
"Gold Dipped 10 Mm
 Pearl Pendant Necklace",JEWELRY;NECKLACE/FASHION,images/20190316/PDN1567-G-CM-14_1L-10mm-431651-375-01.jpg,images/20190316/des_img/PDN1567-G-CM-14_1L-10mm-431651-375-01-1.jpg,"Style No : 431651 Color : Cream, Gold Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size : 10 mm Lead and Nickel Compliant Made In Korea Gold Dipped Gold Dipped 10 mm Pearl Pendant Necklace",3.75
White Gold Dipped 10 Mm Pearl Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1567-R-WH-14_1L-10mm-431653-375-01.jpg,images/20190316/des_img/PDN1567-R-WH-14_1L-10mm-431653-375-01-1.jpg,"Style No : 431653 Color : Rhodium, White Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size : 10 mm Lead and Nickel Compliant Made In Korea Gold Dipped White Gold Dipped 10 mm Pearl Pendant Necklace",3.75
Gold Dipped 8 Mm  Pearl Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1566-G-CM-14_1L-8mm-431648-375-01.jpg,images/20190316/des_img/PDN1566-G-CM-14_1L-8mm-431648-375-01-1.jpg,"Style No : 431648 Color : Clear, Cream Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size : 8 mm Lead and Nickel Compliant Made In Korea Gold Dipped Gold Dipped 8 mm  Pearl Pendant Necklace",3.75
White Gold Dipped 8 Mm Pearl Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1566-R-WH-14_1L-8mm-431650-375-01.jpg,images/20190316/des_img/PDN1566-R-WH-14_1L-8mm-431650-375-01-1.jpg,"Style No : 431650 Color : Rhodium, White Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size : 8 mm Lead and Nickel Compliant Made In Korea Gold Dipped White Gold Dipped 8 mm Pearl Pendant Necklace",3.75
White Gold Dipped 6 Mm Pearl Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1565-R-WH-14_1L-6mm-431647-375-01.jpg,images/20190316/des_img/PDN1565-R-WH-14_1L-6mm-431647-375-01-1.jpg,"Style No : 431647 Color : Rhodium, White Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size :6 mm Lead and Nickel Compliant Made In Korea Gold Dipped White Gold Dipped 6 mm Pearl Pendant Necklace",3.75
Gold Dipped 6 Mm Pearl Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1565-G-CM-14_1L-6mm-431645-375-01.jpg,images/20190316/des_img/PDN1565-G-CM-14_1L-6mm-431645-375-01-1.jpg,"Style No : 431645 Color : Cream, Gold Theme : Pearl  Necklace Size : 14"" + 1"" L Pearl Size :6 mm Lead and Nickel Compliant Made In Korea Gold Dipped Gold Dipped 6 mm Pearl Pendant Necklace",3.75
Shell Pendant Natural Stone Wood Beaded Necklace,JEWELRY;NECKLACE/FASHION,images/20190314/FN50179-GD-NAT-20_3L-175X16-1L-431131-575-01.jpg,images/20190314/des_img/FN50179-GD-NAT-20_3L-175X16-1L-431131-575-01-1.jpg,"Style No : 431131 Color : Gold, Neutral Theme : Sea Life, Shell, Wood  Necklace Size : 20"" + 3"" L Pendant Size : 1.75"" X 1.6"" Earring Size : 1"" L Lead and Nickel Compliant Shell Pendant Natural Stone Wood Beaded Necklace",5.75
Natural Stone Squash Blossom Necklace,JEWELRY;NECKLACE/FASHION,images/20190318/FN0979-B-MUL-24_4L-325L-2L-431732-1675-05.jpg,images/20190318/des_img/FN0979-B-MUL-24_4L-325L-2L-431732-1675-05-1.jpg,"Style No : 431732 Color : Multi, Silver Burnished  Necklace Size :24"" + 4"" L  Pendant Size : 3.25"" L Earring Size : 2"" L Natural Stone Squash Blossom Necklace",18.00
Turtle Metal Pendant Wood Beaded Long Necklace,JEWELRY;NECKLACE/FASHION,images/20190314/LN2955-GB-30_3L-2X2-1L-431190-450-01.jpg,images/20190314/des_img/LN2955-GB-30_3L-2X2-1L-431190-450-01-1.jpg,"Style No : 431190 Color : Gold Burnished Theme : Animal, Sea Life, Turtle, Wood  Necklace Size : 30"" + 3"" L  Pendant Size : 2"" X 2"" Earring Size : 1"" L Lead and Nickel Compliant Turtle Metal Pendant Wood Beaded Long Necklace",4.50
Cut Out Palm Tree Metal Pendant Long Necklace,JEWELRY;NECKLACE/METAL,images/20190314/LN30653-G-32_3L-175X25-025L-431154-375-01.jpg,images/20190314/des_img/LN30653-G-32_3L-175X25-025L-431154-375-01-1.jpg,"Style No : 431154 Color : Gold Theme : Palm Tree  Necklace Size : 32"" + 3"" L  Pendant Size : 1.75"" X 2.5"" Earring Size : 0.25"" L Lead and Nickel Compliant Cut Out Palm Tree Metal Pendant Long Necklace",3.75
