Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-GD-GREEN-STR-125H-353211-600-02.jpg,,"Style No : 353211 Color : Gold, Green  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-GD-CL-STR-125H-353207-600-02.jpg,,"Style No : 353207 Color : Clear, Gold  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-GD-BZIR-STR-125H-353208-600-02.jpg,,"Style No : 353208 Color : Blue Zircon, Gold  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170619/EVB7070-GD-AB-STR-125H-349127-600-02.jpg,,"Style No : 349127 Color : AB, Gold  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170619/EVB7070-RH-AB-STR-125H-349128-600-02.jpg,,"Style No : 349128 Color : AB, Rhodium  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170619/EVB7070-GD-ROYAL-STR-125H-349129-600-02.jpg,,"Style No : 349129 Color : Royal Blue, Gold  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-BK-HM-STR-125H-353209-600-02.jpg,,"Style No : 353209 Color : Black, Hematite  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Multi Layered Strand Bead Charm Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170725/MLB3031-MT-7LAYERS-15H-STR-353560-375-02.jpg,,"Style No : 353560 Color : Multi  Size : 1.5"" H Stretchable 7 Layer Multi Layered Strand Bead Charm Stretch Bracelet",3.75
8pcs Multi Layered Strand Bead Bracelet,JEWELRY;BRACELET/FASHION,images/20170512/MLB3075-BL-8LYRS-2H-STR-344511-450--02.jpg,images/20170512/des_img/MLB3075-BL-8LYRS-2H-STR-344511-450-02-1.jpg,Style No : 344511 Color : Blue  Size : 2mm  Stretchable 8PCS Multi Layered Strand Bead Bracelet,5.25
Wood Ball Strand With Charms Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170512/MLB3070-BR-8LAYERS-2H-STR-344510-450--02.jpg,images/20170512/des_img/MLB3070-BR-8LAYERS-2H-STR-344510-450-02-1.jpg,"Style No : 344510 Color : Brown Theme : Wood  Size : 2""H Stretchable 8 Layer Wood Ball Strand with Charms Stretch Bracelet",4.50
